Week,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF,DJI_Forecast,DJV_Forecast,S&P_Forecast,FTSE_Forecast,FTV_Forecast,STI_Forecast,STIV_Forecast,SG/D_Forecast,P/D_Forecast,SGPRIME_Forecast,UKPRIME_Forecast,USPRIME_Forecast,USINF_Forecast,UKINF_Forecast,SGINF_Forecast
480,5032.94,181001.6,598.48,3671.5,1503523.0,2362.11,1976679.0,0.7031,1.547,6.0,7.5,8.5,2.73,2.88,0.86,5040.731704177856,185979.771875,599.0377474832535,3672.5826086997986,1477316.1328125,2371.110057220459,2371.110057220459,0.7029563575500156,1.546027345329523,5.981344938278198,7.444810271263123,8.503236263757572,2.741518961749971,2.860487059801817,2.860487059801817
481,5066.9,175256.6,606.37,3704.2,1737839.0,2390.06,1433587.0,0.7064,1.5207,6.0,7.5,8.5,2.73,2.88,0.86,5068.304129624366,159824.89296875,607.3847697925568,3704.2503426119683,1795242.29296875,2376.680023727417,2376.680023727417,0.7049562155488879,1.5112821373686194,5.97477300465107,7.421482503414154,8.510266214609146,2.7294567966787144,2.9058888248354195,2.9058888248354195
482,5242.84,221585.3,619.96,3758.2,1707784.0,2410.25,1280192.0,0.7037,1.5109,6.0,7.5,8.5,2.73,2.88,0.86,5280.749927368164,215936.90888671874,624.342215499878,3769.03377456665,1827299.21875,2413.3114511966705,2413.3114511966705,0.7036901850815149,1.5011926282957195,5.987063482403755,7.422277987003326,8.525150565430522,2.7557447101175785,2.8704338838532566,2.8704338838532566
483,5395.3,188542.1,636.02,3759.3,2080538.0,2449.15,1178692.0,0.7041,1.5132,6.0,7.25,8.5,2.73,2.88,0.86,5428.121842193604,186098.72866210938,639.5828142356872,3767.2362196922304,2219247.6875,2464.9450353622437,2464.9450353622437,0.7046744548980146,1.5086232894815506,6.015330389142036,7.236783742904663,8.536160707473755,2.760846282839775,2.8864933774992823,2.8864933774992823
484,5492.12,177123.6,649.93,3726.1,1826318.0,2491.93,1142560.0,0.7075,1.5373,6.0,7.25,8.25,2.65,2.72,1.62,5529.606999511719,187236.54921875,652.7436827945709,3753.422790145874,1770907.01171875,2524.805591278076,2524.805591278076,0.7073763819749002,1.5364118027828635,5.977971091866493,7.285706877708435,8.230944260954857,2.6682216074317693,2.696802444085479,2.696802444085479
485,5579.55,212674.9,655.58,3745.0,1710019.0,2401.79,673737.0,0.7074,1.5425,6.0,7.25,8.25,2.65,2.72,1.62,5614.979344177246,218866.98251953124,658.6087537574768,3777.457660675049,1748669.22265625,2428.0320921325683,2428.0320921325683,0.7069778061856982,1.5392918416950852,5.946947023272514,7.229386687278748,8.205628369003534,2.6527850940823554,2.6824574668705465,2.6824574668705465
486,5515.97,150249.9,648.1,3725.6,1756506.0,2453.88,673737.0,0.7148,1.544,6.0,7.25,8.25,2.65,2.72,1.62,5537.5892016601565,151648.31394042968,650.1360667705536,3747.231052017212,1783430.82421875,2469.6949452209474,2469.6949452209474,0.714851394708862,1.538195303414017,5.94659997522831,7.215392112731934,8.204653400927782,2.659051944129169,2.678612632006407,2.678612632006407
487,5506.21,189262.8,644.75,3738.2,1584419.0,2438.59,600182.0,0.7077,1.5330000000000001,6.0,7.25,8.25,2.65,2.72,1.62,5534.561198196411,193804.54609375,648.2942388057709,3756.004416656494,1648013.8984375,2440.949883308411,2440.949883308411,0.7075491824226221,1.5235816763639451,5.942891150712967,7.198031842708588,8.226948531344533,2.655001133773476,2.6772126381099226,2.6772126381099226
488,5629.77,176481.5,652.0,3758.9,1536282.0,2429.74,531875.0,0.7085,1.5297,6.0,7.25,8.25,2.84,2.71,1.43,5635.230978031159,168987.10498046875,652.9912819266319,3759.373459392786,1571021.00390625,2424.518631210327,2424.518631210327,0.7090137622356415,1.5287290972054937,5.989438876509666,7.214371025562286,8.256640672218055,2.856134116798639,2.6997085186094045,2.6997085186094045
489,5568.72,199090.8,638.55,3640.3,1770202.0,2300.73,658253.0,0.7109,1.524,6.0,7.0,8.25,2.84,2.71,1.43,5568.211460382939,204920.4796875,638.6645557314157,3635.2114775657656,1788803.935546875,2303.221007566452,2303.221007566452,0.7111596807607915,1.5219208137374372,5.994913786649704,7.00113832950592,8.253573596244678,2.848749924600124,2.7002156833559274,2.7002156833559274
