week_num,is_trade,a_start,a_end,profit,hold_profit,trade_profit,as_start,as_end,ad_start,ad_end,ap_start,ap_end,trade_s_d,trade_s_p,trade_d_s,trade_d_p,trade_p_s,trade_p_d
49.0,0.0,35724.49167673472,35752.30260966845,27.810932933731237,27.810932933731237,0.0,10581.328241854028,10593.537466748474,10812.424291029918,10830.098446121025,10673.179992291147,10688.060868241937,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,35689.66279164427,35670.78041907527,-18.88237256899447,-18.88237256899447,0.0,10593.537466748474,10605.760779210106,10830.098446121025,10847.801491657954,10688.060868241937,10702.96249156785,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,35853.13367395545,35881.32217369469,28.18849973923352,28.18849973923352,0.0,10605.760779210106,10617.998195493808,10847.801491657954,10865.533474865471,10702.96249156785,10718.39945669992,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,35874.01303891586,35971.33573775047,97.32269883461413,97.32269883461413,0.0,10617.998195493808,10630.249731873224,10865.533474865471,10883.29444304554,10718.39945669992,10733.858686685548,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,36184.47455875999,36285.79546330421,101.32090454421996,101.32090454421996,0.0,10630.249731873224,10642.51540464077,10883.29444304554,10901.084443577442,10733.858686685548,10749.340213637499,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0.0,36353.91499399237,36450.53411706495,96.61912307258171,96.61912307258171,0.0,10642.51540464077,10654.795230107662,10901.084443577442,10918.903523917905,10749.340213637499,10764.844069714862,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,36499.35994103326,36588.30913986535,88.94919883208786,88.94919883208786,0.0,10654.795230107662,10667.089224603938,10918.903523917905,10936.751731601233,10764.844069714862,10780.370287123105,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,36400.451151106274,36442.18809721009,41.7369461038179,41.7369461038179,0.0,10667.089224603938,10679.39740447848,10936.751731601233,10954.629114239428,10780.370287123105,10796.437185147184,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,36360.982938884415,36546.51804622037,185.53510733595613,185.53510733595613,0.0,10679.39740447848,10691.719786099033,10954.629114239428,10972.535719522319,10796.437185147184,10812.528029028894,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,35886.450148758806,35904.69736749913,18.24721874032548,18.24721874032548,0.0,10691.719786099033,10704.056385852224,10972.535719522319,10990.471595217692,10812.528029028894,10828.642854456773,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,35614.59989645351,35559.433576779535,-55.16631967397552,-55.16631967397552,0.0,10704.056385852224,10716.40722014359,10990.471595217692,11008.436789171414,10828.642854456773,10844.781697172552,0.0,0.0,0.0,0.0,0.0,0.0
