Week,SG/D,P/D,P/SG,SG/D_Forecast,P/D_Forecast,P/SG_Forecast,%delta_SG/D,%delta_SG/D_Forecast,%delta_P/D,%delta_P/D_Forecast,%delta_P/SG,%delta_P/SG_Forecast,SE_SG/D,SE_P/D,SE_P/SG,APE_SG/D,APE_P/D,APE_P/SG,MAPE,MAPE_SG/D,MAPE_P/D,MAPE_P/SG
150,0.505,1.56,3.089108910891089,0.5052069873880828,1.5554031906090675,3.0787444145428253,-0.2370604504148516,-0.19617001420726962,0.6127055788455379,0.31623286740196843,0.8517852752705147,0.5134100381540255,4.284377882533135e-08,2.1130656576565624e-05,0.00010742278455317495,0.04098760160055048,0.29466726864952203,0.33551734973546476,,0.04349847741376942,0.3191017976903849,0.31459260923350385
151,0.5053,1.5825,3.13180288937265,0.5054051969447871,1.5789397577568889,3.124106691624265,0.05940594059405287,0.0802370187697295,1.4423076923076898,1.214087035698002,1.3820807136659163,1.1329409788624156,1.1066397192554265e-08,1.2675324829632996e-05,5.923145978225203e-05,0.020818710624810412,0.22497581315078252,0.24574336317593218,,0.02643882543214002,0.2895772848955306,0.3159318230105205
152,0.5089,1.616,3.175476517979957,0.509314314417867,1.6145944508807732,3.1701336584780906,0.712448050662982,0.7944418004882323,2.1169036334913165,2.028085363713948,1.3945203497802265,1.2239202293193707,1.7165643685246278e-07,1.9755683265593923e-06,2.8546147656683048e-05,0.08141371936863627,0.08697704945710746,0.16825378715963873,,0.04774001053133239,0.20220671041913732,0.24983816669034523
153,0.5092,1.6015,3.145129615082482,0.5104695709010586,1.6059220020063218,3.145970090188958,0.05895067793278973,0.30842422893664395,-0.8972772277227833,-0.6236384897078128,-0.9556645349334721,-0.9291968504232327,1.6118102728147817e-06,1.9554101743915115e-05,7.063984046052868e-07,0.24932657129980643,0.27611626639537457,0.026723067387911997,,0.11718633376441769,0.1960230430010882,0.14690673924116096
154,0.5068,1.5465,3.0514996053670087,0.5081907214161009,1.5515086812116206,3.0530047398115765,-0.47132757266299247,-0.19820867712079696,-3.434280362160471,-3.12153098897155,-2.97698413656691,-2.929128097904786,1.9341060572015804e-06,2.5086887479640893e-05,2.2654296962243914e-06,0.2744122762629952,0.3238720473081519,0.049324418784801566,,0.20171752231047932,0.22898845438687798,0.08143375777745077
155,0.5112,1.59,3.110328638497653,0.5116196489462629,1.594628024995327,3.1168232656420436,0.8681925808997552,0.9509962403833574,2.8128031037827412,3.1120611054204392,1.9278728736249922,2.1407068236267497,1.7610523809955903e-07,2.141861535737144e-05,4.2180181744655735e-05,0.08209095192936151,0.29107075442308145,0.20880838969889906,,0.2019432664973877,0.29701968937553597,0.09495195862387089
156,0.5112,1.6145,3.158255086071988,0.5120146231994033,1.6204251952916384,3.164802569829273,0.0,0.15935508595525938,1.5408805031446517,1.9135342950715937,1.540880503144652,1.7513882828128404,6.636109570060458e-07,3.510793924405356e-05,4.2869543551913513e-05,0.15935508595525938,0.366998779290082,0.20731332900118882,,0.1719527713825387,0.32731386034043847,0.15514871249496312
157,0.5099,1.5755,3.0898215336340455,0.5116959426622838,1.5817618628144263,3.0912143930333635,-0.2543035993740156,0.09701538777069843,-2.4156085475379463,-2.0277570260497817,-2.1668152373041853,-2.122713055518409,3.225410046210945e-06,3.921092590669639e-05,1.9400573062684766e-06,0.35221468175794823,0.3974524160219881,0.045078959550126564,,0.19788690654752306,0.3518406499117172,0.15373355941673816
158,0.5107,1.5885,3.110436655570785,0.5129864814382047,1.5968360485732556,3.112822864447381,0.15689350853108902,0.6053111273199978,0.825134877816574,1.3542398332755101,0.6671945842934653,0.7444226329241419,5.227997367254387e-06,6.94897058156757e-05,5.693992802745634e-06,0.44771518273049654,0.5247748550994988,0.07671620228376372,,0.31976165014790137,0.4297420168038563,0.1097028302783597
159,0.5102,1.5815,3.0997647981183847,0.5104951368223876,1.5762594469413158,3.087707077393239,-0.09790483649893399,-0.04011419181759934,-0.44066729619138284,-0.7705730600367775,-0.3430983695902387,-0.7307520034795648,8.710574392903564e-08,2.7463396360883216e-05,0.00014538862908560984,0.057847279966204646,0.3313659853736386,0.3889882462200046,,0.2859257148182165,0.4178644188317085,0.17026113601796497
160,0.5102,1.565,3.067424539396315,0.5110761375211179,1.5678331722132859,3.0677095976692947,0.0,0.1717243279337369,-1.0433133101485905,-0.8641686871143864,-1.043313310148587,-1.0341171842634012,7.676169559106636e-07,8.026864790135548e-06,8.125821899413701e-08,0.1717243279337369,0.18103336826108238,0.009293081844997709,,0.22576226354347936,0.34572473624474,0.15833251011625535
161,0.5125,1.5655,3.0546341463414635,0.5130929109756834,1.564622728302609,3.0493945537609655,0.4508036064288453,0.5670150873546549,0.03194888178913386,-0.024106817724656848,-0.4169749863632782,-0.5877890524699925,3.515434250859368e-07,7.696056310429785e-07,2.7453330409609672e-05,0.11568994647482547,0.0560377960645688,0.17152930038359784,,0.11508718479158901,0.18947904989976325,0.1899368761495334
162,0.5154,1.5759999999999998,3.0578191695770274,0.5158144942213315,1.5756133557579013,3.0546124108754094,0.5658536585365881,0.6467305797720129,0.670712232513571,0.6460144208177195,0.10426856647885686,-0.0007115570969485657,1.7180545951724934e-07,1.4949376994796599e-07,1.0283301370402874e-05,0.08042185124787576,0.024533264092547906,0.10487077632068062,,0.12261204188547938,0.0872014761393997,0.09523105284975873
163,0.5243,1.6005,3.0526416173946216,0.5249887575145811,1.6001010605827906,3.047876811987444,1.7268141249514979,1.8604496535857786,1.5545685279187937,1.5292551131212382,-0.1693217255591334,-0.325145374471528,4.743869138919125e-07,1.5915265860343654e-07,2.270337056826897e-05,0.13136706362408626,0.02492592422427218,0.15608793970529333,,0.10915962044892917,0.03516566146046296,0.14416267213652392
164,0.5249,1.6115,3.070108592112783,0.525436001927685,1.6098880771324038,3.063908965556514,0.11443829868396814,0.21667021317662358,0.6872852233676913,0.5865715171761168,0.572192117758955,0.3691015708391225,2.87298066482028e-07,2.5982953310793935e-06,3.8435369437197746e-05,0.10211505576014338,0.10002624062030094,0.20193509025043005,,0.10463465687736846,0.04982847631237367,0.154297935425468
165,0.5291,1.6269999999999998,3.0750330750330743,0.530089303807728,1.6278031504112294,3.0708092744343696,0.8001524099828503,0.9886271304492233,0.9618367980142629,1.0116754831665795,0.16040093607575998,0.022822721104607348,9.787220239851048e-07,6.450505830582445e-07,1.7840491497618624e-05,0.18697860663919721,0.04936388514010945,0.13735789162720868,,0.14015357534114228,0.05810534999489419,0.16512697386097736
166,0.5242,1.6105,3.072300648607402,0.5251702284005471,1.6092642577616498,3.0642716794187064,-0.926100926100929,-0.7427275750241841,-1.0141364474492771,-1.0900886440288846,-0.088858440185822,-0.3499603208089788,9.413431492281012e-07,1.5270588796427936e-06,6.44643462330208e-05,0.18508744764346763,0.07673034699473534,0.26133409802633667,,0.1580603700142694,0.0753734909183819,0.20020902663465848
167,0.5278,1.6645,3.1536566881394466,0.5287937442373485,1.670965194746852,3.1599564347282465,0.6867607783288912,0.8763342688570174,3.3529959639863423,3.7544361842193084,2.6480494208443246,2.8530992290932495,9.875276092632273e-07,4.1798743114721676e-05,3.968680708309658e-05,0.1882804542153159,0.3884166264254683,0.19976006305608968,,0.1867821694993269,0.17150361952010437,0.19948401756987835
168,0.5297,1.652,3.118746460260525,0.5301905286477878,1.6556812350153922,3.122804247820281,0.3599848427434448,0.4529231996566446,-0.7509762691499055,-0.5298146581320441,-1.1069761654848167,-0.9783068789699926,2.406183543005952e-07,1.3551491238550373e-05,1.6465639880110994e-05,0.09260499297486673,0.22283504935788762,0.13010956842631852,,0.1553242982778834,0.22932734092603044,0.1970679098362483
169,0.5333,1.6517,3.097131070691918,0.5345322991387919,1.6565675574362275,3.0990972109733974,0.6796299792335375,0.9122709342631503,-0.018159806295397516,0.27648652761668335,-0.6930794100781512,-0.6300367643699459,1.5185611674671577e-06,2.3693115394974377e-05,3.865707606455241e-06,0.23107053043162554,0.2946998508341452,0.06348263075091574,,0.1706519925406027,0.3019838422058337,0.1311174207444413
170,0.5368,1.679,3.12779433681073,0.5385005257541314,1.6817146004140378,3.122958140215215,0.6562910181886478,0.9751595263700422,1.6528425258824304,1.817194430831132,0.9900538730497325,0.8339030197235732,2.8917878404640876e-06,7.3690554078936765e-06,2.3388797510471274e-05,0.316789447490942,0.16167959583309735,0.1546200317136673,,0.21348832363247808,0.2264048320083767,0.11607074363030052
